"Freq [GHz]","arg(St(stripline1_T1,stripline1_T1)) [deg]","arg(St(stripline1_T2,stripline1_T1)) [deg]","arg(St(stripline1_T3,stripline1_T1)) [deg]","arg(St(stripline1_T4,stripline1_T1)) [deg]"
6.44,179.890523292475,-0.0486547638385097,-0.0674930132782142,-0.0699335984270472
6.46,179.890287897698,-0.0487902965341507,-0.0676710493057976,-0.0701073096318608
6.48,179.890052902954,-0.0489258371160801,-0.0678488584676519,-0.0702809900676059
6.5,179.889818270956,-0.0490613755318825,-0.0680264449016033,-0.0704546788534462
6.52,179.889583962394,-0.049196901286559,-0.0682038124277559,-0.0706284173024801
6.54,179.889349935931,-0.04933240346973,-0.0683809644241375,-0.0708022489978086
6.56,179.889116148197,-0.0494678707827359,-0.0685579036905013,-0.070976219872841
6.58,179.888882553795,-0.0496032915751883,-0.0687346322975172,-0.0711503782919313
6.6,179.888649105299,-0.0497386538830697,-0.0689111514225326,-0.0713247751341211
6.62,179.88841575328,-0.0498739454760028,-0.0690874611689089,-0.0714994638785459
6.64,179.888182446315,-0.0500091539058571,-0.069263560370208,-0.0716745006915618
6.66,179.887949131025,-0.0501442665655899,-0.0694394463799225,-0.071849944514152
6.68,179.887715752107,-0.0502792707513679,-0.0696151148418945,-0.0720258571503489
6.7,179.887482252381,-0.0504141537320475,-0.0697905594459147,-0.0722023033551851
6.72,179.887248572844,-0.0505489028244561,-0.0699657716677936,-0.0723793509209374
6.74,179.887014652739,-0.0506835054740614,-0.0701407404917052,-0.0725570707616433
6.76,179.886780429627,-0.0508179493428638,-0.0703154521188219,-0.0727355369922888
6.78,179.88654583948,-0.0509522224012766,-0.0704898896626999,-0.0729148270023081
6.8,179.886310816774,-0.0510863130260531,-0.0706640328330042,-0.0730950215210053
6.82,179.886075294607,-0.0512202101014334,-0.0708378576127109,-0.0732762046693872
6.84,179.88583920482,-0.0513539031240369,-0.0710113359291899,-0.0734584639985157
6.86,179.885602478131,-0.0514873823090737,-0.0711844353315216,-0.0736418905055824
